,testability_meaning,bodyComment,codeComment,pr_group,ref_pattern,java_files_count,prod_file,prod_location,test_location,comment,url,relevance,bodyTestableText,java_files_count.1,prod_file.1,test_file,title,is_title_testable,java_files_count.2,Unnamed: 19,test_java_files_count,files_count
115,,,duplicate,irrelevant,irrelevant,1.0,,,,,https://github.com/pinpoint-apm/pinpoint/pull/317,relevant,improving testability of PinpointBootStrap,,,,#117 plugin system refactoring,False,1.0,,0.0,1.0
116,,,only new code added,irrelevant,irrelevant,26.0,,,,,https://github.com/getsentry/sentry-java/pull/593,likely relevant,"I found it weird, but thinking about testability now, the tests could evolve to run in both JsonFactory implementations that way, using the same JsonFactoryImpl classname we cannot use both at the same time, it's harder to test it, but gives some end-user stability, given that if the user has multiple dependencies pointing to JsonFactorys it will give a compile time error instead of a runtime error which looks to me the right way to behave.;",,,,Json facade for marshalling,False,26.0,,6.0,43.0
117,,,"spanEnd extracted and invoked from junits, handleEnd method calls it without any additions though",only_ref_for_test,extract_method_for_invocation,6.0,,https://github.com/census-instrumentation/opencensus-java/pull/1576/files#diff-c0e453e6ce7dda8b466f6e5b7e1d8bd4f2879ff1a85bb5b66e1369c3fccb87fdR100,https://github.com/census-instrumentation/opencensus-java/pull/1576/files#diff-ede5eb4d67c1fdd70e848295affbae08c1f5d0a93744c4c49734b0eedbfe4bc4R159,,https://github.com/census-instrumentation/opencensus-java/pull/1576,relevant,It also makes plugin (that uses the api) more testable.,,,,Refactoring handleEnd api. Making it similar to handleStart.,False,6.0,,3.0,6.0
118,,too large to understand,,irrelevant,irrelevant,95.0,,,,,https://github.com/dhis2/dhis2-core/pull/5753,relevant,"Additionally, the refactor aims at modularizing the Event import code, for better readability and testability.;",,,,refactor: Refactor of events tracker importer,False,95.0,,17.0,100.0
119,testability_instructions_to_test,,testable means here how the change can be tested,irrelevant,irrelevant,3.0,,,,,https://github.com/ankidroid/Anki-Android/pull/5054,likely irrelevant,"The save path in general from the new dialog option is testable anywhere;Import was tested on emulator and chromebook - sorry the dialog popup slipped through on #5032;Learning (optional, can help others);",,,,"Storage Access Framework take 2 (export, and import bug fix)",False,3.0,,0.0,4.0
120,,,ProjectCacheCleaner::deleteProjectDirsIfNecessary extracted and unit-tested,incl_ref_for_test,extract_class_for_invocation,9.0,,https://github.com/azkaban/azkaban/pull/2130/files?diff=split&w=1#diff-3ca367faae28eb58b3bc0c39ae261ba4a84abb25dadad9c0519f48d7cec099efR159,https://github.com/azkaban/azkaban/pull/2130/files?diff=split&w=1#diff-34dbbd02ed0558e42d4861e190e7670d4ca55fa2337e6f8a4afc1dff40e8bb84R113,,https://github.com/azkaban/azkaban/pull/2130,relevant,Move project cache cleaning logic to a separate class for better testability.;;;,,,,FlowPreparer refactor,False,9.0,,4.0,13.0
121,,,QueueFactory and ObjectWriterFactory extracted and mocked in junits,incl_ref_for_test,extract_class_for_override,8.0,,https://github.com/qos-ch/logback/pull/193/files#diff-a7b8ab287f6f03221a9c1a604096abe37b158e457403f9c1c7f3a207ddc5eccaR105,https://github.com/qos-ch/logback/pull/193/files#diff-c4739fd854017494273f793f46d625f51a32eac5183f7ffa447ba133797a0427R83,,https://github.com/qos-ch/logback/pull/193,relevant,"I would like to ""clean-up"" and extend the existing AbstractSocketAppenderTest and make the AbstractSocketAppender a little bit more testable by pulling out the aspects of queue creation and output stream creation to provider classes.",,,,LOGBACK-977 - AbstractSocketAppender loses event for every socket connection break,False,8.0,,3.0,9.0
122,,,Kotlin: wrapper extracted and methods overridden in junits,incl_ref_for_test,extract_class_for_override,5.0,,https://github.com/kickstarter/android-oss/pull/700/files#diff-48992cf759e27530937c2b169c09e3f3b64c9f97902dc74b3705da4798435575R5,https://github.com/kickstarter/android-oss/pull/700/files#diff-78e88d82cdc8280349f45757cf01397898dea6f25d5f0079b6dacec37c748b6cR421,,https://github.com/kickstarter/android-oss/pull/700,likely relevant,so it's testable.;,,,,[❔] NT-601 Qualtrics survey support,False,5.0,,2.0,17.0
123,,,no obvious patterns,incl_ref_for_test,other,13.0,,,,,https://github.com/jenkinsci/github-plugin/pull/57,relevant,"This can help to make process testable and simplify classes with other logic (Cleaner, Triggers); Migrate to new webhook manager class in cleaner; Migrate to new manager in push trigger; Use in Cleaner queue interface instead of synchronized block.",,,,[JENKINS-28138] Migration to webhooks with ext point,False,13.0,,4.0,16.0
124,,,digestManager injected from junits,incl_ref_for_test,add_constructor_param,9.0,,https://github.com/apache/bookkeeper/pull/2333/files#diff-885c97f6f2fa71d32d94c492046ac1a1b62e5488060096df899fd9754d395dd9R76,https://github.com/apache/bookkeeper/pull/2333/files#diff-2824c64a13c57f42fd58dbb382db0ba701e3d56850aaaae1f2e3062c2af0ce35R92,,https://github.com/apache/bookkeeper/pull/2333,relevant,The change also modifies ReadLastConfirmedOp to make it testable.,,,,QuorumCoverage should only count unknown nodes,False,9.0,,4.0,9.0
125,,,getNumResponsesPending extracted and invoked from junits,incl_ref_for_test,extract_method_for_invocation,,,https://github.com/apache/bookkeeper/pull/2333/files#diff-885c97f6f2fa71d32d94c492046ac1a1b62e5488060096df899fd9754d395dd9R76,https://github.com/apache/bookkeeper/pull/2333/files#diff-2824c64a13c57f42fd58dbb382db0ba701e3d56850aaaae1f2e3062c2af0ce35R104,,https://github.com/apache/bookkeeper/pull/2333,,,,,,,,,,,
126,,,"PVManagerSettings calls System.setProperty, not relevant for us",irrelevant,irrelevant,4.0,,https://github.com/ISISComputingGroup/ibex_gui/pull/732/files#diff-0e061e873192796df98594b43b9af7122cf8a721c24fa4c88d802045ac31fe0fR33,,,https://github.com/ISISComputingGroup/ibex_gui/pull/732,irrelevant,"None - this is setting PV manager preferences / system environment variables, no testable logic;System tests;",,,,Remove need to have diirt config files in user area,False,4.0,,0.0,9.0
127,testability_no_testable_logic,,no testable logic. no refactorings,irrelevant,irrelevant,7.0,,,,,https://github.com/ISISComputingGroup/ibex_gui/pull/746,irrelevant,"None added, there is no testable logic.;",,,,Ticket3058 display graphs and scripts together,False,7.0,,0.0,25.0
128,testability_can_be_tested_in_future,,testable in future another PR,irrelevant,irrelevant,40.0,,,,,https://github.com/MovingBlocks/Terasology/pull/3589,likely irrelevant,"None of these is blocker, so might as well be left for another PR to make this one easily testable and reviewable;; javadoc for lots of loadProcesses still missing; other loadProcesses",,,,Merge pull request #3589 from Adrijaned/loadProcessDoc,False,40.0,,0.0,40.0
129,,,ActiveContextManager extracted and mocked,incl_ref_for_test,extract_class_for_override,24.0,,https://github.com/kiegroup/kie-wb-common/pull/65/files?diff=split&w=1#diff-7f7d2b561960823a0714283a65096b2fb4263777832ebc0f6656d2a72990f7dfR636,https://github.com/kiegroup/kie-wb-common/pull/65/files?diff=split&w=1#diff-b60b584d42efdf985616893b28db94e51c376987b3cb1c697f3f892d9039446cR112,,https://github.com/kiegroup/kie-wb-common/pull/65,relevant,Making the code more unit testable;,,,,Bug 1254907 - Items of project explorer are not refreshed automatically,False,24.0,,3.0,24.0
130,,,move method for override: moved from SchedulerUtils to RuntimeManagerRunner,incl_ref_for_test,extract_method_for_override,4.0,,https://github.com/apache/incubator-heron/pull/545/files#diff-424ec73d4e72c36db27168c6f6897516a74d292ff4aabeedb63eb59717678716R155,https://github.com/apache/incubator-heron/pull/545/files#diff-9623be473f79d5afeffbce6edb9018c7f5301564704ea9853f8370b167c1bfecR102,,https://github.com/apache/incubator-heron/pull/545,relevant,Better for testability.,,,,Refactor the order to set states on state manager.,False,4.0,,1.0,4.0
131,,,@Test added to test methods,irrelevant,irrelevant,1.0,,,,,https://github.com/hibernate/hibernate-validator/pull/615,likely irrelevant,A few examples are not testable but most of them are so we'd better test them.,,,,HV-1194 Add @Test annotations to testable examples of BootstrappingTest,True,1.0,,1.0,1.0
132,,,"IndexLookup class extracted, tested separately and mocked in other tests",incl_ref_for_test,extract_class_for_override,11.0,,https://github.com/Graylog2/graylog2-server/pull/7725/files#diff-89f0065dbdb61fbe511c0b7c96832510506ab504c333460f8be27e62fe372d82R45,https://github.com/Graylog2/graylog2-server/pull/7725/files#diff-056bb745dafcb6aecc967c2958ebd10538175e0ba5b3909241206dbc23b35ec1R50,,https://github.com/Graylog2/graylog2-server/pull/7725,relevant,Adds tests for IndexLookup;;Motivation and Context;;reuse the index lookup logic for #7709;improve testability of ElasticsearchBackend;;,,,,Extract IndexLookup from ElasticsearchBackend,False,11.0,,9.0,11.0
133,,,no test created because GoogleAnalyticsApiFacade  has static methods and is untestable ,irrelevant,irrelevant,1.0,,,,,https://github.com/pentaho/pentaho-kettle/pull/1541,likely irrelevant,"No test since class affected by the change has only static method and constructor, creating test will involve refactoring it to be testable.",,,,[BACKLOG-4250] [Google Analytics Step] The field Key File doesn't support the variable ${Internal.Transformation.Filename.Directory},False,1.0,,0.0,1.0
134,,,"constructors made public, there are no tests though",only_ref_for_test,widen_access_for_invocation,8.0,,https://github.com/castorini/anserini/pull/1032/files#diff-adebcb154ac62a997d0dd7d2ec7f7c279d201ce4c9282a84af229be23d0fd8e0R73,,,https://github.com/castorini/anserini/pull/1032,relevant,This also increases testability as a side effect.,,,,Segment constructors should be public,False,8.0,,0.0,8.0
